,Tit_pag,link_pag
0,Sistemas Escolares - UAMI,http://www.cseuami.org/
1,AVISO: PROCESO REINSCRIPCION  21-O Y RECUPERACIÓN 21-P,http://www.cseuami.org/documentos/licenciatura/instructivos/calendari_21O_21p_.pdf
2,AVISO: EXTENSIÓN DE PLAZO MÁXIMO,http://www.cseuami.org/documentos/licenciatura/instructivos/prorroga_peer.pdf
3,AVISO: CALENDARIO DE TRAMITES ESCOLARES 21-Primavera,http://www.cseuami.org/documentos/licenciatura/instructivos/cal_tramites_21p.pdf
4,Portal de UAM Iztapalapa,http://www.izt.uam.mx/
5,"

                                        CSE                
",http://www.cseuami.org/index.php
6,"

                                        Presentación                
",http://www.cseuami.org/index.php/home/presentacion
7,"

                                        Coordinación de Sistemas Escolares                
",http://www.cseuami.org/index.php/home/directorio/dir-cse
8,"

                                        Ciencias Básicas e Ingeniería                
",http://www.cseuami.org/index.php/home/directorio/dir-cbi
9,"

                                        Ciencias Biológicas y de la Salud                
",http://www.cseuami.org/index.php/home/directorio/dir-cbs
10,"

                                        Ciencias Sociales y Humanidades                
",http://www.cseuami.org/index.php/home/directorio/dir-csh
11,"

                                        Preguntas Frecuentes                 
",http://www.cseuami.org/index.php/home/preguntas
12,http://www.cseuami.org/documentos/licenciatura/formatos/segunda_carrera.pdf,http://www.cseuami.org/documentos/licenciatura/formatos/segunda_carrera.pdf
13,https://cbi.izt.uam.mx/consejo_divisional/images/consejo/lineamientos/alumnos/Alumnos_11.pdf,https://cbi.izt.uam.mx/consejo_divisional/images/consejo/lineamientos/alumnos/Alumnos_11.pdf
14,http://www.csh-iztapalapa.uam.mx/consejo/lineamientos/descargas/5_12.pdf,http://www.csh-iztapalapa.uam.mx/consejo/lineamientos/descargas/5_12.pdf
15,http://consejo.cbsuami.org/documentos/lineamientos/alumnos/lineamiento_exp.pdf,http://consejo.cbsuami.org/documentos/lineamientos/alumnos/lineamiento_exp.pdf
16,"

                                        Ubicación                
",http://www.cseuami.org/index.php/home/ubicacion
